transaction_id,product_category,product_name,brand,payment_method,customer_type,store_location,quantity,unit_price,total_sales,purchase_date,restock_date
131,home decor,UltraGadget X,Evergreen,PayPal,VIP,456 Elm Avenue,11,133,1463,4/5/2026,9/4/2025
132,electronics,GigaForce 9000,Acme,PayPal,premium,456 Elm Avenue,80,218,17440,10/30/2025,7/14/2025
133,outdoor gear,MegaGizmo X10,Silverstone,credit card,premium,456 Elm Avenue,66,235,15510,11/8/2025,5/25/2025
134,office supplies,GigaMax Pro,Starlight,credit card,premium,456 Elm Avenue,44,218,9592,1/3/2026,2/4/2026
135,sports equipment,GigaMax Pro,Acme,credit card,VIP,456 Elm Avenue,5,243,1215,3/16/2026,6/19/2025
136,beauty products,MegaGizmo X10,Silverstone,PayPal,VIP,456 Elm Avenue,41,136,5576,10/18/2025,3/7/2026
137,toys,UltimaTech 5000,Evergreen,credit card,premium,123 Main Street,62,499,30938,9/9/2025,1/6/2026
138,electronics,GigaMaster 100,Evergreen,Venmo,VIP,123 Main Street,72,339,24408,10/11/2025,12/8/2025
139,office supplies,TechBlaster 1000,Starlight,credit card,basic,123 Main Street,100,425,42500,10/13/2025,9/15/2025
140,electronics,PowerMax Pro,Starlight,credit card,VIP,123 Main Street,65,139,9035,12/27/2025,7/4/2025
141,kitchen appliances,MegaGizmo X10,Acme,PayPal,VIP,789 Oak Lane,38,80,3040,12/23/2025,1/11/2026
142,electronics,GigaForce 9000,Evergreen,PayPal,basic,123 Main Street,86,164,14104,1/11/2026,12/9/2025
143,sports equipment,SuperSpeed X,Evergreen,credit card,VIP,123 Main Street,71,292,20732,10/3/2025,1/23/2026
144,kitchen appliances,UltimaTech 5000,Silverstone,credit card,premium,123 Main Street,61,324,19764,1/3/2026,6/24/2025
145,outdoor gear,GigaMaster 100,Thunderbolt,PayPal,VIP,789 Oak Lane,87,231,20097,5/16/2025,1/18/2026
146,home decor,MegaTech Pro,Evergreen,PayPal,VIP,123 Main Street,78,185,14430,5/4/2026,6/2/2025
147,beauty products,MegaGizmo X10,Acme,PayPal,premium,456 Elm Avenue,86,106,9116,8/31/2025,2/5/2026
148,electronics,SuperSpeed X,Thunderbolt,credit card,VIP,123 Main Street,86,94,8084,4/22/2026,3/8/2026
149,pet supplies,PowerMax Pro,Evergreen,PayPal,basic,789 Oak Lane,6,231,1386,12/22/2025,7/23/2025
150,home decor,TechMaster 3000,Acme,Venmo,VIP,789 Oak Lane,60,59,3540,11/23/2025,9/24/2025
151,office supplies,HyperDrive 500,Thunderbolt,PayPal,premium,123 Main Street,2,79,158,10/26/2025,1/8/2026
152,outdoor gear,UltimaTech 5000,Silverstone,Venmo,basic,123 Main Street,14,426,5964,6/13/2025,8/13/2025
153,electronics,MegaGizmo X10,Thunderbolt,PayPal,premium,456 Elm Avenue,93,340,31620,9/5/2025,5/26/2025
154,electronics,UltimaTech 5000,Starlight,PayPal,premium,123 Main Street,64,268,17152,6/15/2025,7/23/2025
155,toys,GigaMax Pro,Evergreen,credit card,VIP,456 Elm Avenue,9,433,3897,6/27/2025,7/12/2025
156,outdoor gear,TechMaster 3000,Evergreen,PayPal,VIP,456 Elm Avenue,94,243,22842,5/28/2025,7/6/2025
157,office supplies,GigaMax Pro,Silverstone,Venmo,premium,456 Elm Avenue,40,151,6040,3/25/2026,8/28/2025
158,pet supplies,HyperDrive 500,Silverstone,Venmo,VIP,123 Main Street,94,9,846,9/8/2025,4/28/2026
159,beauty products,SuperSpeed X,Acme,credit card,VIP,123 Main Street,80,236,18880,1/19/2026,5/10/2026
160,kitchen appliances,UltimaTech 5000,Starlight,PayPal,premium,456 Elm Avenue,20,10,200,8/9/2025,7/1/2025
161,pet supplies,MegaGizmo X10,Thunderbolt,credit card,basic,123 Main Street,38,488,18544,1/6/2026,10/17/2025
162,pet supplies,UltraForce 2000,Silverstone,Venmo,VIP,456 Elm Avenue,82,152,12464,9/21/2025,9/18/2025
163,beauty products,UltimaTech 5000,Evergreen,PayPal,basic,123 Main Street,9,417,3753,9/4/2025,9/16/2025
164,clothing,HyperDrive 500,Evergreen,PayPal,basic,789 Oak Lane,11,218,2398,6/24/2025,4/25/2026
165,clothing,GigaForce 9000,Thunderbolt,Venmo,basic,123 Main Street,49,89,4361,9/3/2025,5/10/2026
166,clothing,MegaGizmo X10,Evergreen,Venmo,VIP,789 Oak Lane,38,382,14516,5/12/2026,5/19/2025
167,pet supplies,HyperDrive 500,Evergreen,credit card,basic,456 Elm Avenue,43,222,9546,3/31/2026,5/26/2025
168,toys,UltraGadget X,Thunderbolt,PayPal,premium,123 Main Street,31,400,12400,6/1/2025,7/3/2025
169,clothing,MegaDrive X10,Silverstone,Venmo,VIP,456 Elm Avenue,15,75,1125,10/2/2025,11/20/2025
170,clothing,GigaForce 9000,Thunderbolt,credit card,VIP,123 Main Street,11,319,3509,7/23/2025,2/25/2026
171,beauty products,UltimateGizmo 3000,Evergreen,Venmo,premium,456 Elm Avenue,30,185,5550,1/31/2026,3/16/2026
172,clothing,GigaMax Pro,Thunderbolt,credit card,VIP,789 Oak Lane,54,399,21546,6/1/2025,11/8/2025
173,outdoor gear,MegaGizmo X10,Silverstone,Venmo,VIP,456 Elm Avenue,89,199,17711,5/26/2025,10/5/2025
174,beauty products,MegaDrive X10,Thunderbolt,Venmo,VIP,123 Main Street,99,334,33066,6/29/2025,6/25/2025
175,home decor,MegaGizmo X10,Evergreen,Venmo,VIP,456 Elm Avenue,84,176,14784,9/14/2025,4/3/2026
176,toys,MegaDrive X10,Thunderbolt,Venmo,basic,123 Main Street,35,442,15470,12/28/2025,5/29/2025
177,electronics,UltimateGizmo 3000,Evergreen,Venmo,VIP,456 Elm Avenue,32,482,15424,2/27/2026,12/28/2025
178,kitchen appliances,SuperSpeed X,Starlight,credit card,basic,789 Oak Lane,62,77,4774,6/16/2025,11/28/2025
179,electronics,TechBlaster 1000,Thunderbolt,Venmo,VIP,789 Oak Lane,80,184,14720,7/21/2025,7/19/2025
180,toys,UltraGadget X,Thunderbolt,credit card,basic,789 Oak Lane,30,193,5790,6/6/2025,4/18/2026
181,toys,GigaMax Pro,Acme,credit card,VIP,789 Oak Lane,24,208,4992,5/10/2026,2/11/2026
182,sports equipment,GigaMaster 100,Starlight,Venmo,basic,789 Oak Lane,78,92,7176,12/22/2025,11/26/2025
183,home decor,SuperTech Pro 2000,Acme,Venmo,VIP,123 Main Street,97,220,21340,5/1/2026,1/5/2026
184,outdoor gear,PowerGadget 500,Thunderbolt,PayPal,VIP,123 Main Street,55,257,14135,8/28/2025,1/19/2026
185,pet supplies,GigaForce 9000,Evergreen,credit card,basic,789 Oak Lane,9,84,756,6/5/2025,3/5/2026
186,clothing,HyperDrive 500,Thunderbolt,PayPal,basic,789 Oak Lane,27,314,8478,11/20/2025,1/8/2026
187,office supplies,GigaMaster 100,Evergreen,Venmo,premium,123 Main Street,52,307,15964,1/11/2026,1/23/2026
188,outdoor gear,HyperDrive 500,Silverstone,credit card,premium,789 Oak Lane,53,81,4293,8/9/2025,7/26/2025
189,kitchen appliances,TechBlaster 1000,Acme,PayPal,basic,789 Oak Lane,89,399,35511,10/19/2025,8/28/2025
190,sports equipment,TechNova Pro,Silverstone,Venmo,VIP,123 Main Street,24,41,984,4/23/2026,9/1/2025
191,toys,UltraGadget X,Acme,credit card,basic,123 Main Street,90,251,22590,8/31/2025,7/3/2025
192,office supplies,GigaForce 9000,Thunderbolt,credit card,VIP,123 Main Street,63,446,28098,11/2/2025,4/19/2026
193,office supplies,TechNova Pro,Evergreen,PayPal,premium,456 Elm Avenue,21,256,5376,10/7/2025,4/3/2026
194,outdoor gear,GigaMaster 100,Thunderbolt,credit card,premium,789 Oak Lane,53,220,11660,6/22/2025,4/9/2026
195,pet supplies,HyperDrive 500,Thunderbolt,PayPal,basic,123 Main Street,66,316,20856,11/23/2025,6/10/2025
196,pet supplies,TechBlaster 1000,Acme,credit card,premium,789 Oak Lane,43,258,11094,8/19/2025,5/11/2026
197,office supplies,HyperDrive 500,Acme,credit card,VIP,789 Oak Lane,44,196,8624,9/24/2025,3/6/2026
198,home decor,HyperDrive 500,Thunderbolt,Venmo,VIP,456 Elm Avenue,60,308,18480,6/17/2025,9/8/2025
199,sports equipment,SuperTech Pro 2000,Acme,Venmo,basic,789 Oak Lane,87,455,39585,6/1/2025,10/6/2025
200,toys,UltimaTech 5000,Evergreen,PayPal,VIP,456 Elm Avenue,58,195,11310,1/29/2026,10/31/2025
201,kitchen appliances,GigaMax Pro,Acme,PayPal,VIP,123 Main Street,81,239,19359,4/25/2026,1/7/2026
202,home decor,TechNova Pro,Starlight,credit card,basic,789 Oak Lane,42,170,7140,11/14/2025,12/21/2025
203,outdoor gear,MegaTech Pro,Silverstone,PayPal,basic,456 Elm Avenue,75,298,22350,6/13/2025,8/6/2025
204,outdoor gear,TechMaster 3000,Acme,credit card,premium,123 Main Street,82,31,2542,12/1/2025,8/21/2025
205,kitchen appliances,UltimateGizmo 3000,Starlight,PayPal,basic,789 Oak Lane,56,310,17360,7/3/2025,9/9/2025
206,clothing,TechMaster 3000,Acme,credit card,basic,456 Elm Avenue,17,242,4114,12/20/2025,10/25/2025
207,office supplies,PowerMax Pro,Starlight,PayPal,premium,789 Oak Lane,61,286,17446,4/22/2026,2/15/2026
208,kitchen appliances,SuperTech Pro 2000,Thunderbolt,Venmo,premium,789 Oak Lane,81,20,1620,3/5/2026,7/8/2025
209,clothing,SuperSpeed X,Acme,PayPal,VIP,123 Main Street,77,23,1771,12/28/2025,6/2/2025
210,electronics,SuperTech Pro 2000,Thunderbolt,Venmo,premium,123 Main Street,23,325,7475,6/20/2025,9/6/2025
211,toys,UltraGadget X,Thunderbolt,PayPal,basic,789 Oak Lane,99,352,34848,6/14/2025,1/7/2026
212,outdoor gear,UltraGadget X,Acme,PayPal,premium,123 Main Street,69,391,26979,12/18/2025,1/11/2026
213,electronics,UltraGadget X,Thunderbolt,PayPal,VIP,456 Elm Avenue,48,441,21168,11/2/2025,6/9/2025
214,electronics,UltraForce 2000,Acme,credit card,premium,123 Main Street,98,331,32438,8/12/2025,9/21/2025
215,clothing,GigaMax Pro,Thunderbolt,credit card,basic,456 Elm Avenue,14,345,4830,1/25/2026,3/23/2026
216,kitchen appliances,MegaTech Pro,Thunderbolt,PayPal,premium,123 Main Street,7,326,2282,11/26/2025,2/11/2026
217,sports equipment,UltraGadget X,Thunderbolt,credit card,basic,456 Elm Avenue,49,317,15533,4/11/2026,5/8/2026
218,outdoor gear,GigaMaster 100,Silverstone,PayPal,VIP,789 Oak Lane,59,186,10974,5/21/2025,12/31/2025
219,toys,GigaForce 9000,Evergreen,Venmo,premium,123 Main Street,55,253,13915,6/20/2025,9/28/2025
220,kitchen appliances,MegaTech Pro,Starlight,Venmo,VIP,456 Elm Avenue,27,174,4698,6/2/2025,12/7/2025
221,toys,UltraForce 2000,Silverstone,PayPal,VIP,789 Oak Lane,93,355,33015,9/16/2025,8/23/2025
222,home decor,MegaDrive X10,Thunderbolt,PayPal,premium,789 Oak Lane,46,147,6762,6/4/2025,12/21/2025
223,toys,HyperDrive 500,Silverstone,Venmo,basic,789 Oak Lane,36,476,17136,1/7/2026,2/13/2026
224,kitchen appliances,MegaDrive X10,Silverstone,Venmo,basic,123 Main Street,54,199,10746,5/25/2025,10/17/2025
225,clothing,SuperTech Pro 2000,Thunderbolt,Venmo,premium,456 Elm Avenue,32,241,7712,8/8/2025,8/16/2025
226,outdoor gear,UltraForce 2000,Acme,PayPal,basic,456 Elm Avenue,84,218,18312,4/23/2026,10/16/2025
227,kitchen appliances,TechNova Pro,Acme,Venmo,VIP,123 Main Street,22,298,6556,12/28/2025,7/28/2025
228,home decor,TechNova Pro,Starlight,Venmo,basic,456 Elm Avenue,31,358,11098,11/10/2025,12/16/2025
229,electronics,GigaMaster 100,Starlight,Venmo,VIP,123 Main Street,72,189,13608,3/29/2026,1/26/2026
230,clothing,HyperDrive 500,Thunderbolt,credit card,basic,123 Main Street,6,337,2022,8/25/2025,1/14/2026
231,toys,MegaDrive X10,Evergreen,PayPal,premium,789 Oak Lane,28,441,12348,4/7/2026,11/30/2025
