order_id,customer_id,customer_age,city,subscription_type,meal_type,num_of_meals,delivery_date,delivery_time,order_amount,delivery_status,payment_method,prep_time_minutes,customer_rating
39,8044,41,Lameira,basic,lunch,10,11/10/2025,7:48 PM,2680,delivered,Venmo,36,1
40,4458,69,Xiongbei,gold,snack,9,4/10/2026,4:00 AM,2799,delivered,credit card,26,1
41,7393,23,Tasböget,basic,breakfast,1,5/27/2025,8:13 AM,361,delivered,credit card,32,5
42,6821,62,Hudson,premium,dinner,6,11/14/2025,3:33 PM,1380,delivered,credit card,24,2
43,6916,58,Maulavi Bāzār,basic,snack,5,2/7/2026,4:47 PM,2010,in transit,Venmo,59,5
44,1823,24,Kowary,basic,dinner,8,4/16/2026,7:01 PM,2128,out for delivery,Venmo,46,5
45,6307,20,Chenggan,gold,breakfast,4,9/7/2025,12:17 AM,1484,delivered,PayPal,16,4
46,1115,26,Santo Amaro da Imperatriz,premium,snack,4,2/24/2026,5:34 PM,1200,delivered,Venmo,47,1
47,9322,69,Tiaong,premium,lunch,2,12/15/2025,3:54 AM,894,delivered,Venmo,57,4
48,7277,32,Pisão,gold,lunch,10,3/18/2026,9:02 AM,2020,out for delivery,credit card,19,4
49,3826,77,Naḥf,basic,dinner,7,7/10/2025,7:25 PM,1813,out for delivery,credit card,17,3
50,8703,52,Satita,premium,breakfast,4,1/19/2026,1:36 AM,1760,delivered,PayPal,24,5
51,6138,49,Tucupido,premium,snack,5,2/3/2026,7:29 PM,2275,delivered,PayPal,53,2
52,1702,45,Cruz Alta,gold,snack,6,1/9/2026,9:19 PM,2124,in transit,Venmo,51,4
53,1724,49,Dolo,basic,dinner,8,7/6/2025,6:38 PM,3520,in transit,credit card,43,4
54,8933,48,Yingtou,gold,lunch,3,3/19/2026,7:03 PM,1011,in transit,PayPal,20,2
55,5694,64,Toungo,gold,lunch,2,11/26/2025,2:38 PM,894,in transit,PayPal,37,5
56,6462,65,Luntas,basic,breakfast,10,10/9/2025,3:23 PM,3810,in transit,PayPal,31,1
57,5119,18,Longfeng,premium,snack,4,2/6/2026,1:11 PM,1580,out for delivery,Venmo,14,3
58,8469,80,Miaoshi,gold,lunch,2,8/23/2025,8:31 PM,840,out for delivery,PayPal,58,1
59,4633,56,São Mateus,basic,dinner,6,4/19/2026,12:52 PM,2148,delivered,PayPal,56,2
60,4669,33,Boliden,premium,breakfast,9,8/21/2025,5:56 AM,3978,delivered,Venmo,24,3
61,6626,40,Babakandesa,gold,lunch,1,12/1/2025,10:28 AM,424,delivered,PayPal,26,4
62,7706,75,Crumlin,gold,snack,1,3/27/2026,10:06 PM,310,delivered,credit card,30,3
63,7382,24,Imielin,basic,dinner,9,9/18/2025,5:22 AM,2295,in transit,Venmo,39,4
64,8763,20,Williamsfield,gold,snack,10,11/10/2025,1:41 PM,4660,delivered,Venmo,44,1
65,9334,76,Los Angeles,premium,lunch,1,1/21/2026,7:08 AM,454,out for delivery,credit card,40,3
66,5745,74,Mali Iđoš,premium,breakfast,4,10/14/2025,10:08 PM,1844,delivered,credit card,19,1
67,8209,57,La Esperanza,premium,snack,1,7/22/2025,1:28 PM,374,delivered,credit card,32,1
68,3932,18,Itaparica,basic,lunch,4,11/30/2025,6:24 PM,1200,delivered,credit card,10,5
69,9633,46,Concepción del Uruguay,basic,breakfast,5,11/12/2025,11:24 PM,2210,out for delivery,credit card,45,3
70,5735,32,Matão,premium,breakfast,3,12/21/2025,6:53 AM,810,in transit,credit card,52,2
71,8271,55,Xiaoyan,gold,dinner,6,11/5/2025,3:03 PM,1956,delivered,Venmo,30,2
72,6000,74,Jangkungkusumo,premium,lunch,9,12/7/2025,5:45 AM,3456,out for delivery,credit card,49,3
73,2704,44,Okotoks,basic,breakfast,6,5/23/2025,8:21 AM,2856,out for delivery,credit card,17,4
74,3632,25,Yambol,gold,dinner,4,11/10/2025,3:32 PM,872,out for delivery,Venmo,39,4
75,1786,80,Druzhny,gold,dinner,4,12/4/2025,12:42 PM,864,out for delivery,PayPal,59,4
76,8515,61,Dijon,premium,snack,4,12/17/2025,6:37 PM,832,in transit,Venmo,48,4
77,2562,59,Taozhuang,basic,lunch,6,1/4/2026,7:42 AM,2712,delivered,PayPal,11,2
78,7049,64,Vaxholm,basic,snack,3,2/24/2026,4:20 AM,933,delivered,credit card,49,1
79,1482,51,Kasina Wielka,basic,dinner,7,10/23/2025,4:44 AM,1988,in transit,PayPal,45,1
80,3892,21,Talun,gold,lunch,2,3/26/2026,9:23 AM,870,delivered,credit card,54,3
81,1300,78,Kelungkung,gold,breakfast,2,6/26/2025,2:42 PM,792,in transit,Venmo,17,4
82,5362,72,Mpulungu,basic,snack,2,11/21/2025,12:40 PM,408,in transit,PayPal,11,5
83,8041,44,Jatisari,premium,snack,1,1/1/2026,2:46 PM,362,in transit,PayPal,50,1
84,4445,35,Hödrögö,premium,snack,4,6/30/2025,7:32 PM,1508,delivered,credit card,10,3
85,8153,31,Ancol,gold,lunch,7,11/13/2025,10:03 AM,2758,out for delivery,credit card,56,4
86,2379,30,Ar Ru’ays,gold,lunch,2,10/10/2025,2:06 PM,746,delivered,PayPal,19,4
87,6036,59,Trzebinia,basic,breakfast,6,8/31/2025,4:22 AM,1590,out for delivery,Venmo,43,2
88,3681,24,Hrvace,premium,breakfast,3,6/6/2025,4:26 AM,1452,out for delivery,PayPal,26,5
89,7061,69,Yinglong,premium,snack,8,4/6/2026,3:25 PM,3568,in transit,PayPal,23,4
90,2683,53,Kėdainiai,basic,dinner,5,4/29/2025,1:22 AM,1435,delivered,credit card,12,2
91,6376,50,Bayt ‘Ūr at Taḩtā,premium,snack,5,2/27/2026,8:59 PM,1645,out for delivery,Venmo,16,1
92,2322,33,Kansas City,premium,breakfast,2,8/1/2025,8:49 PM,436,in transit,Venmo,12,2
93,7012,63,Pak Thong Chai,premium,lunch,5,2/28/2026,6:24 PM,2275,delivered,credit card,50,2
94,1570,18,Zhanggongmiao,gold,lunch,8,1/16/2026,1:57 PM,2368,out for delivery,Venmo,51,2
95,7277,38,Roma,gold,breakfast,4,9/18/2025,1:51 AM,1800,out for delivery,credit card,27,5
96,6862,70,Nomhon,basic,dinner,8,10/18/2025,8:32 AM,3048,delivered,Venmo,53,2
97,6071,23,San Rafael Arriba,premium,dinner,7,2/11/2026,3:10 PM,3157,in transit,PayPal,14,4
98,3523,62,Gaïtánion,basic,snack,2,11/3/2025,12:42 PM,530,delivered,credit card,38,3
99,7564,26,Vetrino,gold,snack,10,7/22/2025,7:15 PM,4890,delivered,PayPal,31,1
100,6513,77,Rzyki,premium,lunch,4,1/18/2026,9:45 AM,1444,delivered,credit card,34,3
101,7724,42,Gorzyce,basic,dinner,6,6/19/2025,3:22 PM,2094,out for delivery,PayPal,33,4
102,9442,21,Sali,basic,snack,4,6/22/2025,10:32 AM,1916,delivered,PayPal,30,4
103,8620,52,Trojanów,premium,dinner,7,3/12/2026,11:19 AM,1953,in transit,credit card,29,5
104,4633,60,Jiaoba,premium,lunch,1,1/28/2026,5:51 PM,217,delivered,Venmo,59,2
105,3706,25,Cachimayo,gold,dinner,6,4/17/2026,5:16 AM,1878,out for delivery,credit card,26,1
106,7488,62,Temyasovo,premium,lunch,2,10/10/2025,1:04 PM,536,delivered,credit card,27,5
107,3967,40,Lipov,gold,breakfast,6,8/26/2025,8:58 PM,2160,delivered,credit card,46,3
108,1566,58,Bakuriani,basic,snack,1,11/14/2025,9:56 PM,446,in transit,PayPal,58,4
109,4237,21,Tigbaw,gold,snack,1,12/14/2025,2:09 AM,440,out for delivery,credit card,12,3
110,5668,25,Esperantina,basic,dinner,2,6/14/2025,6:33 PM,444,in transit,PayPal,42,2
111,7094,44,Kembangkerang Satu,gold,snack,3,11/12/2025,6:46 PM,1083,in transit,Venmo,54,1
112,3583,42,Sangke,gold,lunch,10,12/2/2025,11:16 AM,5000,in transit,Venmo,35,2
113,3657,67,Biała,gold,snack,9,9/29/2025,8:10 AM,2331,out for delivery,PayPal,25,2
114,9981,65,Yushu,gold,breakfast,9,3/28/2026,4:08 PM,2619,in transit,Venmo,28,2
115,2924,56,Xialiao,gold,snack,6,8/13/2025,8:18 AM,2778,out for delivery,PayPal,28,4
116,2252,58,Shimeitang,basic,snack,9,8/7/2025,6:02 AM,1818,out for delivery,Venmo,44,3
117,2070,19,Tāndo Mittha Khān,basic,breakfast,8,2/25/2026,8:32 AM,3616,out for delivery,Venmo,31,1
118,9373,69,Radzyń Chełmiński,basic,breakfast,5,7/16/2025,9:33 AM,1580,out for delivery,credit card,58,2
119,7103,58,Lautaro,premium,dinner,10,10/21/2025,11:10 PM,2430,delivered,credit card,52,2
120,8520,57,Pondokaso,basic,breakfast,3,4/28/2025,4:37 PM,1458,in transit,Venmo,44,2
121,3052,30,Jeding,gold,lunch,5,5/26/2025,8:47 AM,2420,delivered,Venmo,12,1
122,5035,63,Jiangfeng,basic,lunch,3,11/16/2025,5:54 PM,870,in transit,Venmo,16,1
123,3977,74,Okinawa Número Uno,gold,snack,1,1/25/2026,10:06 AM,209,out for delivery,Venmo,23,5
124,6776,72,Yanas,premium,snack,8,1/22/2026,10:06 AM,3040,delivered,PayPal,16,1
125,5238,48,El Monte,premium,snack,7,8/29/2025,5:14 PM,2296,out for delivery,PayPal,22,5
126,6613,41,Ciénaga,basic,lunch,4,2/5/2026,1:06 AM,1656,in transit,PayPal,39,4
127,6207,68,Jaraguá,premium,snack,1,8/29/2025,4:33 PM,382,out for delivery,Venmo,41,1
128,5123,33,Krajan Satu,basic,snack,3,2/18/2026,5:50 AM,702,out for delivery,Venmo,24,1
129,6037,44,Gucheng,gold,lunch,4,11/15/2025,7:46 AM,944,delivered,Venmo,35,2
130,5492,49,Yasenevo,basic,snack,1,9/7/2025,4:24 AM,292,in transit,Venmo,52,1
131,6056,42,Didi Lilo,gold,snack,10,7/29/2025,3:22 PM,2980,out for delivery,Venmo,45,5
132,1192,54,Ettal,premium,dinner,7,4/5/2026,1:00 AM,3325,delivered,Venmo,34,1
133,2391,77,Leping,premium,breakfast,1,9/27/2025,6:26 AM,436,delivered,credit card,47,5
134,6671,22,Bureng,basic,lunch,7,3/12/2026,7:35 AM,2422,in transit,credit card,24,5
135,7007,62,Dobra,premium,lunch,4,8/25/2025,9:55 AM,1944,out for delivery,credit card,40,1
136,6361,19,Kobylin,gold,breakfast,5,11/23/2025,12:58 PM,2460,out for delivery,Venmo,32,3
137,7717,66,Mondokan,premium,snack,1,6/24/2025,2:13 PM,295,delivered,credit card,13,4
138,5795,69,Arlington,basic,snack,1,6/3/2025,1:47 PM,339,out for delivery,Venmo,42,5
139,1571,62,Trondheim,basic,breakfast,10,4/3/2026,1:12 PM,3800,in transit,credit card,21,3
140,3509,36,Changjiang,gold,lunch,2,2/24/2026,5:49 AM,428,delivered,credit card,14,4
141,7891,76,Otradnoye,basic,dinner,9,6/22/2025,9:12 AM,1944,in transit,Venmo,36,3
142,6271,38,Phra Phutthabat,gold,breakfast,2,2/8/2026,11:10 AM,512,out for delivery,PayPal,12,1
143,3252,30,Tutup,gold,breakfast,1,6/28/2025,2:52 AM,488,in transit,PayPal,27,5
144,7660,42,Tirtopuro,gold,dinner,5,9/7/2025,12:12 PM,1485,in transit,Venmo,37,1
145,3845,22,Apače,premium,snack,1,11/30/2025,4:51 PM,211,in transit,credit card,11,3
146,7962,79,Stavanger,premium,breakfast,4,12/30/2025,3:28 AM,1008,delivered,Venmo,21,1
147,7629,30,Néa Ankhíalos,gold,lunch,1,12/10/2025,7:53 PM,476,delivered,credit card,19,4
148,8000,46,Kitamilo,basic,lunch,8,11/1/2025,5:52 AM,3960,delivered,credit card,28,1
149,5766,72,Varennes,basic,breakfast,1,1/16/2026,1:21 AM,356,out for delivery,Venmo,11,3
150,4935,34,Sepulu,premium,lunch,1,4/2/2026,3:27 PM,473,delivered,PayPal,32,5
151,9735,39,Sokhumi,premium,snack,7,11/7/2025,3:11 AM,1470,out for delivery,credit card,44,5
152,9822,46,Juncalito Abajo,basic,snack,5,10/29/2025,10:41 PM,2035,delivered,credit card,15,2
153,2302,80,Kabin Buri,premium,snack,5,12/24/2025,5:40 PM,1475,in transit,Venmo,52,4
154,4811,44,Xianan,basic,snack,4,10/8/2025,10:15 AM,1604,delivered,PayPal,60,3
155,5843,30,Esparza,gold,breakfast,9,12/1/2025,4:49 AM,2916,out for delivery,Venmo,32,5
156,3802,41,Hongyanxi,gold,breakfast,3,1/18/2026,11:08 AM,1266,out for delivery,PayPal,16,2
157,8773,39,Siemiechów,gold,dinner,5,7/29/2025,12:48 PM,1580,out for delivery,Venmo,22,2
158,6210,74,Maştağa,gold,breakfast,7,6/28/2025,4:51 PM,2499,in transit,PayPal,21,5
159,2495,77,Al Baqāliţah,gold,snack,8,7/12/2025,1:16 AM,2584,out for delivery,credit card,50,4
160,6766,30,Xichang,basic,lunch,7,10/6/2025,7:49 PM,1491,delivered,PayPal,51,4
161,5337,39,Pápa,gold,snack,3,2/20/2026,11:40 PM,1302,in transit,PayPal,42,5
162,6396,43,Baiyan,premium,lunch,2,8/25/2025,7:38 AM,834,out for delivery,PayPal,42,2
163,4482,19,Saint-Quentin-en-Yvelines,basic,lunch,2,10/3/2025,8:32 PM,974,in transit,PayPal,54,3
164,6148,30,Leye,premium,breakfast,7,8/2/2025,6:57 AM,2814,in transit,credit card,12,4
165,1581,49,Los Angeles,basic,lunch,4,5/28/2025,7:40 PM,1796,in transit,Venmo,22,1
166,9794,78,Huibu,premium,dinner,4,3/24/2026,2:55 PM,1716,delivered,credit card,41,5
167,9591,33,Dargaz,gold,dinner,9,7/12/2025,1:59 PM,2808,in transit,Venmo,21,5
168,7730,57,Asnières-sur-Seine,gold,snack,1,8/27/2025,12:22 AM,207,delivered,PayPal,45,4
169,5653,50,Cerca la Source,basic,snack,2,1/18/2026,3:18 PM,838,in transit,Venmo,37,5
170,7081,48,Lebak,gold,breakfast,1,9/23/2025,1:20 PM,381,in transit,PayPal,34,2
171,8713,54,Klimavichy,premium,lunch,8,4/26/2026,7:20 AM,2288,out for delivery,PayPal,30,2
172,8770,57,Velké Pavlovice,gold,snack,1,8/29/2025,12:40 AM,267,out for delivery,credit card,54,1
173,9905,62,Mingoyo,gold,breakfast,5,6/20/2025,1:42 PM,2330,out for delivery,PayPal,32,3
174,4050,50,Matão,basic,dinner,9,5/9/2025,1:59 AM,4203,out for delivery,Venmo,58,1
175,8560,21,Łękawica,gold,lunch,6,11/5/2025,7:15 PM,1566,in transit,credit card,37,1
176,6886,73,Varnsdorf,premium,snack,10,11/10/2025,9:10 AM,2860,in transit,PayPal,56,4
177,2829,35,Strasbourg,basic,snack,5,6/23/2025,3:11 PM,1630,out for delivery,PayPal,59,5
178,4920,48,Ponta Porã,basic,snack,2,8/18/2025,7:43 AM,994,delivered,Venmo,34,1
179,2513,29,Saguing,premium,snack,6,10/11/2025,10:41 AM,2532,in transit,PayPal,14,1
180,4300,42,Tiglauigan,gold,snack,7,3/22/2026,3:22 PM,2688,out for delivery,Venmo,53,2
181,9427,26,Birinci Aşıqlı,basic,breakfast,1,5/13/2025,5:07 PM,489,out for delivery,PayPal,22,1
182,8527,58,Sørvágur,premium,breakfast,1,3/16/2026,4:00 PM,379,delivered,credit card,16,3
183,3005,69,La Huaca,gold,breakfast,8,11/9/2025,1:30 AM,3512,out for delivery,PayPal,16,3
184,9502,59,Sua,gold,snack,10,6/18/2025,7:14 PM,4360,delivered,PayPal,37,5
185,6003,76,Isanlu Itedoijowa,basic,breakfast,1,9/30/2025,5:48 AM,217,delivered,credit card,54,3
186,7293,41,Liutangting,basic,snack,1,1/16/2026,2:10 PM,407,in transit,credit card,12,1
187,1502,51,Mistrató,premium,breakfast,9,7/9/2025,5:33 PM,3240,out for delivery,credit card,21,4
188,8800,30,Teplice,premium,dinner,6,11/6/2025,8:29 AM,1710,in transit,PayPal,37,3
189,4831,46,Changqing,gold,breakfast,1,8/30/2025,12:28 PM,421,out for delivery,credit card,45,2
190,3251,79,Baiquan,basic,lunch,9,2/10/2026,2:26 PM,2871,in transit,credit card,28,3
191,4213,48,Agoo,basic,breakfast,5,5/3/2025,4:59 PM,1325,in transit,Venmo,38,1
192,6259,80,Mansa,premium,snack,6,6/27/2025,9:23 AM,1326,out for delivery,credit card,55,5
193,8158,66,Sishui,gold,snack,7,7/22/2025,11:04 PM,2303,in transit,Venmo,54,1
194,8703,31,Taiyanghe,gold,snack,2,12/4/2025,11:02 PM,986,in transit,PayPal,56,4
195,6126,67,Khallat Şāliḩ,basic,snack,5,10/17/2025,2:35 PM,1335,in transit,Venmo,11,5
196,9166,54,Acevedo,premium,breakfast,7,3/7/2026,5:54 PM,1589,out for delivery,Venmo,13,3
197,8200,70,Estância,premium,breakfast,2,9/27/2025,10:14 PM,496,in transit,Venmo,16,4
198,5059,74,Xijiao,gold,lunch,8,11/9/2025,6:15 AM,3736,in transit,credit card,48,4
199,6138,25,Qingshuihe,gold,breakfast,5,6/4/2025,2:29 AM,1105,out for delivery,PayPal,42,5
200,5485,38,Shikhany,basic,lunch,1,11/7/2025,5:26 AM,306,in transit,Venmo,48,1
201,1200,57,Livingstone,gold,breakfast,9,2/27/2026,6:19 AM,3375,in transit,PayPal,25,2
202,3469,24,Sasebo,basic,lunch,3,12/27/2025,6:45 PM,909,delivered,Venmo,16,1
203,2060,65,Syrskoye,basic,lunch,8,7/3/2025,9:29 PM,2184,out for delivery,Venmo,43,5
204,6191,57,Guandian,premium,lunch,2,12/18/2025,5:50 PM,792,delivered,PayPal,23,2
205,1729,80,Pancan,basic,dinner,9,7/23/2025,1:43 PM,3789,out for delivery,credit card,43,5
206,5121,33,Haumeni,basic,snack,7,6/7/2025,2:58 AM,2779,in transit,Venmo,49,2
207,2585,20,Frei Paulo,premium,dinner,1,7/9/2025,5:32 PM,384,delivered,credit card,44,3
208,1070,43,Banjar Pande,premium,dinner,3,3/22/2026,10:14 AM,1119,in transit,PayPal,10,5
209,5601,46,Ongi,premium,snack,8,2/27/2026,2:26 PM,2496,delivered,Venmo,55,4
210,3688,22,Cesson-Sévigné,premium,dinner,2,10/6/2025,5:28 PM,992,out for delivery,credit card,45,5
211,6574,35,Pawa,premium,dinner,6,5/22/2025,6:51 PM,2232,delivered,PayPal,20,5
212,6860,66,Três Lagoas,basic,dinner,7,9/18/2025,1:57 PM,2625,delivered,Venmo,36,3
213,9341,60,Tuhe,gold,lunch,2,12/16/2025,12:54 PM,550,delivered,Venmo,17,4
214,1910,48,Oodweyne,premium,dinner,9,2/14/2026,4:35 AM,3402,out for delivery,credit card,11,2
215,3158,18,Holoriang,premium,lunch,6,4/26/2026,10:25 PM,1872,out for delivery,PayPal,15,1
216,8577,59,La Virgen,gold,breakfast,7,11/30/2025,9:39 PM,3381,in transit,credit card,28,3
217,4303,53,Argasari,premium,lunch,1,3/22/2026,11:51 AM,212,out for delivery,credit card,31,1
218,6684,77,Peredovaya,basic,breakfast,2,10/10/2025,9:24 PM,720,in transit,Venmo,25,4
219,1242,57,Nanjiao,premium,breakfast,6,11/15/2025,12:41 AM,1914,delivered,PayPal,49,5
220,2555,79,Aguas Verdes,premium,lunch,6,9/11/2025,3:18 AM,2580,in transit,Venmo,56,1
221,3421,74,Nagai,basic,dinner,3,4/18/2026,7:19 PM,1434,out for delivery,PayPal,31,5
222,9992,57,Paoay,premium,lunch,3,11/22/2025,9:07 AM,1326,delivered,PayPal,17,5
223,1553,51,Jianxin,premium,breakfast,6,5/29/2025,3:17 PM,1914,out for delivery,Venmo,37,5
224,1139,69,Manizales,premium,dinner,4,10/14/2025,9:20 AM,1204,in transit,PayPal,14,4
225,2904,47,San Francisco,basic,lunch,6,1/25/2026,3:54 PM,2850,delivered,PayPal,53,4
226,7361,34,Khao Yoi,basic,breakfast,6,9/16/2025,8:56 PM,2160,in transit,PayPal,42,4
227,7516,75,Ezhou,gold,breakfast,2,4/8/2026,11:42 PM,536,delivered,PayPal,14,2
228,2756,49,Uppsala,premium,breakfast,6,12/17/2025,12:12 PM,2688,delivered,PayPal,26,4
229,6924,63,Yangjinzhuang,premium,breakfast,8,6/3/2025,2:40 AM,3168,out for delivery,PayPal,19,2
230,1027,33,La Tinguiña,basic,lunch,8,10/20/2025,7:27 AM,1832,delivered,credit card,33,1
231,3261,28,Darvi,premium,dinner,5,6/1/2025,1:05 PM,2080,in transit,PayPal,28,2
232,6317,40,Goussainville,premium,snack,2,2/15/2026,10:09 PM,662,out for delivery,credit card,21,3
233,9436,71,Huntington,basic,dinner,8,3/24/2026,12:21 AM,2856,delivered,credit card,43,1
234,8839,32,Quetta,gold,breakfast,6,6/13/2025,9:15 AM,2580,out for delivery,PayPal,48,4
235,4692,64,Jīroft,gold,breakfast,2,11/10/2025,5:32 AM,648,in transit,PayPal,47,3
236,7628,21,Wonosari,premium,breakfast,5,8/26/2025,11:33 AM,2360,out for delivery,PayPal,41,5
237,2758,30,Zhaojia,premium,breakfast,10,7/19/2025,10:11 PM,4870,delivered,Venmo,15,1
238,3309,18,Dhali,basic,lunch,8,12/17/2025,9:06 AM,1616,out for delivery,credit card,43,3
239,3451,70,Shedok,premium,breakfast,9,4/12/2026,3:33 PM,2322,delivered,PayPal,23,3
240,7374,78,Caculé,gold,lunch,5,8/26/2025,6:40 AM,1625,out for delivery,Venmo,24,5
241,1587,78,Kalandagan,basic,snack,10,3/13/2026,6:40 PM,3770,in transit,Venmo,36,5
242,8705,24,Rikitea,basic,lunch,4,11/18/2025,2:50 AM,1604,in transit,credit card,47,1
243,9017,21,Banjar Mambalkajanan,basic,dinner,10,9/10/2025,9:52 AM,2540,in transit,PayPal,34,5
244,1481,37,Madīnat Lab‘ūs,basic,dinner,6,1/2/2026,2:30 PM,1944,delivered,PayPal,31,3
245,5559,29,Orós,premium,breakfast,4,4/25/2026,12:27 PM,868,delivered,Venmo,38,1
246,8164,33,Sula,gold,dinner,1,5/20/2025,6:30 AM,296,in transit,credit card,59,3
247,4858,35,Jangheung,basic,dinner,2,6/3/2025,10:08 AM,422,out for delivery,Venmo,23,4
248,3940,69,Ketangi,premium,lunch,8,4/25/2026,10:36 AM,3128,out for delivery,Venmo,44,2
249,4965,54,Ribeira das Taínhas,gold,dinner,6,5/10/2025,3:19 PM,1326,in transit,Venmo,49,5
250,1663,49,Qiaozhuang,basic,dinner,2,5/8/2025,5:31 AM,752,out for delivery,credit card,43,1
251,4451,46,Naranjito,gold,snack,10,11/20/2025,9:53 AM,2730,out for delivery,PayPal,21,1
252,2759,27,Ystad,gold,snack,3,8/12/2025,12:05 PM,699,out for delivery,credit card,26,2
253,7884,63,San Juan de Manapiare,premium,snack,4,2/23/2026,11:49 PM,1556,out for delivery,Venmo,23,1
254,3115,37,Xi’an,basic,breakfast,2,7/5/2025,7:19 AM,520,out for delivery,PayPal,57,4
255,7370,39,Santo Domingo,gold,snack,9,11/23/2025,5:23 PM,4122,out for delivery,Venmo,14,4
256,2534,69,Chilliwack,premium,snack,8,11/10/2025,2:15 AM,3832,out for delivery,PayPal,36,2
257,2983,22,Nova Venécia,basic,dinner,3,3/6/2026,2:20 PM,1302,out for delivery,credit card,54,5
258,9165,25,Brikama Nding,gold,snack,7,9/9/2025,4:12 PM,2905,delivered,PayPal,42,2
259,1354,61,Binhe,basic,snack,7,12/23/2025,1:27 AM,3024,out for delivery,credit card,20,5
260,1490,39,Przemyśl,gold,dinner,6,6/12/2025,10:49 AM,1794,delivered,credit card,21,2
261,1734,30,Uyskoye,premium,dinner,4,5/9/2025,10:16 AM,1392,delivered,credit card,52,2
